TestID,Kategori,Senaryo,Uyarı/Stimulus,Beklenen Davranış,Kanıt/Kayıt,Araç/Komut
84,AŞAMA 16 — Gizlilik & Uyum,Veri yaşam döngüsü,retention,policy mevcut,config/retention,static:review
85,AŞAMA 16 — Gizlilik & Uyum,İz sürülebilirlik,decision→order→fill,tam zincir,ids chain,ops:trace:chain
86,AŞAMA 17 — Yedekleme & DR,Yedekleme politikası,takvim/şifreleme,tanımlı,backup config,static:review
87,AŞAMA 17 — Yedekleme & DR,Restore provası,örnek yedek,tutarlı,checksum/row counts,ops:db:restore-dry
88,AŞAMA 17 — Yedekleme & DR,DR runbook,bölgesel kesinti,adımlar açık,runbook dokümanı,static:review
89,AŞAMA 18 — Yükseltmeler & Pazar,Risk-tier sıçraması,scale-in sonrası,liq hesabı güncel,tier change log,php artisan sentx:manage-open
90,AŞAMA 18 — Yükseltmeler & Pazar,Sözleşme değişimi,BTCUSDT-P→Q,mapping+reconcile,symbol map,php artisan sentx:reconcile
91,AŞAMA 18 — Yükseltmeler & Pazar,Delist duyurusu,AnnouncementWatcher,planlı kapanış,DELIST alarm,ops:announce:simulate
92,AŞAMA 19 — Analitik & Muhasebe,PnL defteri,real-fee + slippage,defter eşleşir,ledger vs report,ops:accounting:reconcile
93,AŞAMA 19 — Analitik & Muhasebe,Fee ayrıştırma,maker/taker,toplam doğru,fee report,php artisan sentx:test:fees
94,AŞAMA 19 — Analitik & Muhasebe,Slippage raporu,close işlemleri,cap ihlal kaydı,slippage log,ops:slippage:summary
95,AŞAMA 20 — Dokümantasyon,API/Komut yardım,artisan list --help,bayraklar belgeli,help metinleri,php artisan list --help
96,AŞAMA 20 — Dokümantasyon,Değişiklik günlüğü,CHANGELOG,sürüm notları,CHANGELOG.md,static:review
97,AŞAMA 20 — Dokümantasyon,Sözlük/terimler,Glossary,mevcut & güncel,docs/glossary*,static:review
98,Kombinasyon/Yol Kapsamı,Funding+Corr,≤5dk & ρ>0.85,NO_TRADE,reason listesi,php artisan sentx:open-now --dry
99,Kombinasyon/Yol Kapsamı,USDT+Slippage,<0.985 & cap,NO_TRADE,iki alarm,php artisan sentx:open-now --dry
100,Kombinasyon/Yol Kapsamı,ATR+Cooldown,<2×ATR & cooldown,NO_TRADE,reasons birleşik,php artisan sentx:open-now --dry
101,Kombinasyon/Yol Kapsamı,FilterDrift+Idempotans,tick değişti & ağ kesildi,çift emir=0,"dupe=0, clamp",php artisan sentx:open-now
102,Kombinasyon/Yol Kapsamı,NONE veto,"2 LONG, 1 NONE(conf>92)",NO_TRADE (NONE_VETO),reason=NONE_VETO,php artisan sentx:decision:dry
103,Kombinasyon/Yol Kapsamı,Winsorize etkisi,uç TP/SL,10–90 winsorize→median,post-winsor median,php artisan sentx:decision:dry
104,Kombinasyon/Yol Kapsamı,Leverage out-of-range,model lev=200,schema reject + karar sürer,validation fail,php artisan sentx:decision:dry
105,Kombinasyon/Yol Kapsamı,IOC kısmi→OCO revizyon,kısmi fill,TP/SL avg_entry’ye göre revize,recalc evidence,php artisan sentx:manage-open
106,Kombinasyon/Yol Kapsamı,ReduceOnly garantisi,kapatma denemesi,ters yön büyüme yok,reduceOnly=true,php artisan sentx:manage-open
107,Kombinasyon/Yol Kapsamı,Slippage cap close,kapanışta cap,ABORT & alarm,SLIPPAGE_CAP on close,php artisan sentx:manage-open
108,Property Micro,Rastgele invariant 108,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
109,Property Micro,Rastgele invariant 109,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
110,Property Micro,Rastgele invariant 110,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
111,Property Micro,Rastgele invariant 111,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
112,Property Micro,Rastgele invariant 112,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
113,Property Micro,Rastgele invariant 113,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
114,Property Micro,Rastgele invariant 114,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
115,Property Micro,Rastgele invariant 115,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
116,Property Micro,Rastgele invariant 116,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
117,Property Micro,Rastgele invariant 117,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
118,Property Micro,Rastgele invariant 118,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
119,Property Micro,Rastgele invariant 119,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
120,Property Micro,Rastgele invariant 120,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
121,Property Micro,Rastgele invariant 121,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
122,Property Micro,Rastgele invariant 122,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
123,Property Micro,Rastgele invariant 123,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
124,Property Micro,Rastgele invariant 124,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
125,Property Micro,Rastgele invariant 125,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
126,Property Micro,Rastgele invariant 126,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
127,Property Micro,Rastgele invariant 127,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
128,Property Micro,Rastgele invariant 128,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
129,Property Micro,Rastgele invariant 129,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
130,Property Micro,Rastgele invariant 130,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
131,Property Micro,Rastgele invariant 131,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
132,Property Micro,Rastgele invariant 132,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
133,Property Micro,Rastgele invariant 133,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
134,Property Micro,Rastgele invariant 134,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
135,Property Micro,Rastgele invariant 135,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
136,Property Micro,Rastgele invariant 136,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
137,Property Micro,Rastgele invariant 137,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
138,Property Micro,Rastgele invariant 138,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
139,Property Micro,Rastgele invariant 139,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
140,Property Micro,Rastgele invariant 140,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
141,Property Micro,Rastgele invariant 141,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
142,Property Micro,Rastgele invariant 142,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
143,Property Micro,Rastgele invariant 143,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
144,Property Micro,Rastgele invariant 144,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
145,Property Micro,Rastgele invariant 145,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
146,Property Micro,Rastgele invariant 146,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
147,Property Micro,Rastgele invariant 147,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
148,Property Micro,Rastgele invariant 148,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
149,Property Micro,Rastgele invariant 149,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
150,Property Micro,Rastgele invariant 150,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
151,Property Micro,Rastgele invariant 151,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
152,Property Micro,Rastgele invariant 152,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
153,Property Micro,Rastgele invariant 153,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
154,Property Micro,Rastgele invariant 154,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
155,Property Micro,Rastgele invariant 155,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
156,Property Micro,Rastgele invariant 156,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
157,Property Micro,Rastgele invariant 157,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
158,Property Micro,Rastgele invariant 158,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
159,Property Micro,Rastgele invariant 159,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
160,Property Micro,Rastgele invariant 160,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
161,Property Micro,Rastgele invariant 161,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
162,Property Micro,Rastgele invariant 162,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
163,Property Micro,Rastgele invariant 163,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
164,Property Micro,Rastgele invariant 164,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
165,Property Micro,Rastgele invariant 165,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
166,Property Micro,Rastgele invariant 166,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
167,Property Micro,Rastgele invariant 167,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
168,Property Micro,Rastgele invariant 168,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
169,Property Micro,Rastgele invariant 169,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
170,Property Micro,Rastgele invariant 170,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
171,Property Micro,Rastgele invariant 171,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
172,Property Micro,Rastgele invariant 172,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
173,Property Micro,Rastgele invariant 173,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
174,Property Micro,Rastgele invariant 174,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
175,Property Micro,Rastgele invariant 175,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
176,Property Micro,Rastgele invariant 176,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
177,Property Micro,Rastgele invariant 177,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
178,Property Micro,Rastgele invariant 178,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
179,Property Micro,Rastgele invariant 179,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
180,Property Micro,Rastgele invariant 180,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
181,Property Micro,Rastgele invariant 181,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
182,Property Micro,Rastgele invariant 182,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
183,Property Micro,Rastgele invariant 183,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
184,Property Micro,Rastgele invariant 184,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
185,Property Micro,Rastgele invariant 185,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
186,Property Micro,Rastgele invariant 186,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
187,Property Micro,Rastgele invariant 187,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
188,Property Micro,Rastgele invariant 188,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
189,Property Micro,Rastgele invariant 189,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
190,Property Micro,Rastgele invariant 190,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
191,Property Micro,Rastgele invariant 191,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
192,Property Micro,Rastgele invariant 192,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
193,Property Micro,Rastgele invariant 193,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
194,Property Micro,Rastgele invariant 194,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
195,Property Micro,Rastgele invariant 195,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
196,Property Micro,Rastgele invariant 196,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
197,Property Micro,Rastgele invariant 197,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
198,Property Micro,Rastgele invariant 198,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
199,Property Micro,Rastgele invariant 199,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
200,Property Micro,Rastgele invariant 200,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
201,Property Micro,Rastgele invariant 201,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
202,Property Micro,Rastgele invariant 202,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
203,Property Micro,Rastgele invariant 203,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
204,Property Micro,Rastgele invariant 204,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
205,Property Micro,Rastgele invariant 205,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
206,Property Micro,Rastgele invariant 206,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
207,Property Micro,Rastgele invariant 207,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
208,Property Micro,Rastgele invariant 208,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
209,Property Micro,Rastgele invariant 209,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
210,Property Micro,Rastgele invariant 210,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
211,Property Micro,Rastgele invariant 211,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
212,Property Micro,Rastgele invariant 212,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
213,Property Micro,Rastgele invariant 213,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
214,Property Micro,Rastgele invariant 214,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
215,Property Micro,Rastgele invariant 215,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
216,Property Micro,Rastgele invariant 216,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
217,Property Micro,Rastgele invariant 217,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
218,Property Micro,Rastgele invariant 218,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
219,Property Micro,Rastgele invariant 219,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
220,Property Micro,Rastgele invariant 220,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
221,Property Micro,Rastgele invariant 221,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
222,Property Micro,Rastgele invariant 222,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
223,Property Micro,Rastgele invariant 223,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
224,Property Micro,Rastgele invariant 224,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
225,Property Micro,Rastgele invariant 225,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
226,Property Micro,Rastgele invariant 226,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
227,Property Micro,Rastgele invariant 227,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
228,Property Micro,Rastgele invariant 228,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
229,Property Micro,Rastgele invariant 229,Eris random path,İnvariant PASS,violations=0,vendor/bin/phpunit --group=property
